Origin State,Destination State,Number of tourists visited,,,,,,,,,,,,,,,
Johor,Johor,4415957,,,,,,,,,,,,,,,
Johor,Kedah,287280,,,,,,,,,,,,,,,
Johor,Kelantan,227617,,,,,,,,,,,,,,,
Johor,Melaka,961124,,,,,,,,,,,,,,,
Johor,Negeri Sembilan,506846,,,,,,,,,,,,,,,
Johor,Pahang,581836,,,,,,,,,,,,,,,
Johor,Pulau Pinang,312678,,,,,,,,,,,,,,,
Johor,Perak,426092,,,,,,,,,,,,,,,
Johor,Perlis,12144,,,,,,,,,,,,,,,
Johor,Selangor,574624,,,,,,,,,,,,,,,
Johor,Terengganu,153452,,,,,,,,,,,,,,,
Johor,Sabah,9828,,,,,,,,,,,,,,,
Johor,Sarawak,5210,,,,,,,,,,,,,,,
Johor,W.P. Kuala Lumpur,432668,,,,,,,,,,,,,,,
Johor,W.P. Labuan,9949,,,,,,,,,,,,,,,
Johor,W.P. Putrajaya,46297,,,,,,,,,,,,,,,
Kedah,Johor,49516,,,,,,,,,,,,,,,
Kedah,Kedah,1553782,,,,,,,,,,,,,,,
Kedah,Kelantan,175473,,,,,,,,,,,,,,,
Kedah,Melaka,81453,,,,,,,,,,,,,,,
Kedah,Negeri Sembilan,82518,,,,,,,,,,,,,,,
Kedah,Pahang,205717,,,,,,,,,,,,,,,
Kedah,Pulau Pinang,260335,,,,,,,,,,,,,,,
Kedah,Perak,443281,,,,,,,,,,,,,,,
Kedah,Perlis,122934,,,,,,,,,,,,,,,
Kedah,Selangor,195599,,,,,,,,,,,,,,,
Kedah,Terengganu,83935,,,,,,,,,,,,,,,
Kedah,Sabah,22632,,,,,,,,,,,,,,,
Kedah,Sarawak,23832,,,,,,,,,,,,,,,
Kedah,W.P. Kuala Lumpur,321246,,,,,,,,,,,,,,,
Kedah,W.P. Labuan,13270,,,,,,,,,,,,,,,
Kedah,W.P. Putrajaya,42212,,,,,,,,,,,,,,,
Kelantan,Johor,152566,,,,,,,,,,,,,,,
Kelantan,Kedah,68518,,,,,,,,,,,,,,,
Kelantan,Kelantan,905877,,,,,,,,,,,,,,,
Kelantan,Melaka,46420,,,,,,,,,,,,,,,
Kelantan,Negeri Sembilan,11211,,,,,,,,,,,,,,,
Kelantan,Pahang,390980,,,,,,,,,,,,,,,
Kelantan,Pulau Pinang,79799,,,,,,,,,,,,,,,
Kelantan,Perak,109497,,,,,,,,,,,,,,,
Kelantan,Perlis,15142,,,,,,,,,,,,,,,
Kelantan,Selangor,537822,,,,,,,,,,,,,,,
Kelantan,Terengganu,422522,,,,,,,,,,,,,,,
Kelantan,Sabah,13160,,,,,,,,,,,,,,,
Kelantan,Sarawak,17593,,,,,,,,,,,,,,,
Kelantan,W.P. Kuala Lumpur,369930,,,,,,,,,,,,,,,
Kelantan,W.P. Labuan,4772,,,,,,,,,,,,,,,
Kelantan,W.P. Putrajaya,27644,,,,,,,,,,,,,,,
Melaka,Johor,401077,,,,,,,,,,,,,,,
Melaka,Kedah,94193,,,,,,,,,,,,,,,
Melaka,Kelantan,124592,,,,,,,,,,,,,,,
Melaka,Melaka,870120,,,,,,,,,,,,,,,
Melaka,Negeri Sembilan,182125,,,,,,,,,,,,,,,
Melaka,Pahang,260701,,,,,,,,,,,,,,,
Melaka,Pulau Pinang,61153,,,,,,,,,,,,,,,
Melaka,Perak,115125,,,,,,,,,,,,,,,
Melaka,Perlis,7608,,,,,,,,,,,,,,,
Melaka,Selangor,245021,,,,,,,,,,,,,,,
Melaka,Terengganu,108733,,,,,,,,,,,,,,,
Melaka,Sabah,6943,,,,,,,,,,,,,,,
Melaka,Sarawak,1685,,,,,,,,,,,,,,,
Melaka,W.P. Kuala Lumpur,234904,,,,,,,,,,,,,,,
Melaka,W.P. Labuan,6026,,,,,,,,,,,,,,,
Melaka,W.P. Putrajaya,33327,,,,,,,,,,,,,,,
Negeri Sembilan,Johor,402848,,,,,,,,,,,,,,,
Negeri Sembilan,Kedah,82639,,,,,,,,,,,,,,,
Negeri Sembilan,Kelantan,76248,,,,,,,,,,,,,,,
Negeri Sembilan,Melaka,238354,,,,,,,,,,,,,,,
Negeri Sembilan,Negeri Sembilan,1088586,,,,,,,,,,,,,,,
Negeri Sembilan,Pahang,417257,,,,,,,,,,,,,,,
Negeri Sembilan,Pulau Pinang,162766,,,,,,,,,,,,,,,
Negeri Sembilan,Perak,162927,,,,,,,,,,,,,,,
Negeri Sembilan,Perlis,12891,,,,,,,,,,,,,,,
Negeri Sembilan,Selangor,169908,,,,,,,,,,,,,,,
Negeri Sembilan,Terengganu,96150,,,,,,,,,,,,,,,
Negeri Sembilan,Sabah,22654,,,,,,,,,,,,,,,
Negeri Sembilan,Sarawak,6092,,,,,,,,,,,,,,,
Negeri Sembilan,W.P. Kuala Lumpur,33722,,,,,,,,,,,,,,,
Negeri Sembilan,W.P. Labuan,11694,,,,,,,,,,,,,,,
Negeri Sembilan,W.P. Putrajaya,7351,,,,,,,,,,,,,,,
Pahang,Johor,361147,,,,,,,,,,,,,,,
Pahang,Kedah,100030,,,,,,,,,,,,,,,
Pahang,Kelantan,482837,,,,,,,,,,,,,,,
Pahang,Melaka,205423,,,,,,,,,,,,,,,
Pahang,Negeri Sembilan,194065,,,,,,,,,,,,,,,
Pahang,Pahang,2507806,,,,,,,,,,,,,,,
Pahang,Pulau Pinang,81425,,,,,,,,,,,,,,,
Pahang,Perak,232148,,,,,,,,,,,,,,,
Pahang,Perlis,6501,,,,,,,,,,,,,,,
Pahang,Selangor,541085,,,,,,,,,,,,,,,
Pahang,Terengganu,399142,,,,,,,,,,,,,,,
Pahang,Sabah,43820,,,,,,,,,,,,,,,
Pahang,Sarawak,7268,,,,,,,,,,,,,,,
Pahang,W.P. Kuala Lumpur,355326,,,,,,,,,,,,,,,
Pahang,W.P. Labuan,13781,,,,,,,,,,,,,,,
Pahang,W.P. Putrajaya,30538,,,,,,,,,,,,,,,
Pulau Pinang,Johor,68300,,,,,,,,,,,,,,,
Pulau Pinang,Kedah,1393975,,,,,,,,,,,,,,,
Pulau Pinang,Kelantan,60777,,,,,,,,,,,,,,,
Pulau Pinang,Melaka,58088,,,,,,,,,,,,,,,
Pulau Pinang,Negeri Sembilan,50351,,,,,,,,,,,,,,,
Pulau Pinang,Pahang,196274,,,,,,,,,,,,,,,
Pulau Pinang,Pulau Pinang,720349,,,,,,,,,,,,,,,
Pulau Pinang,Perak,545858,,,,,,,,,,,,,,,
Pulau Pinang,Perlis,200368,,,,,,,,,,,,,,,
Pulau Pinang,Selangor,154394,,,,,,,,,,,,,,,
Pulau Pinang,Terengganu,81122,,,,,,,,,,,,,,,
Pulau Pinang,Sabah,66340,,,,,,,,,,,,,,,
Pulau Pinang,Sarawak,7860,,,,,,,,,,,,,,,
Pulau Pinang,W.P. Kuala Lumpur,107502,,,,,,,,,,,,,,,
Pulau Pinang,W.P. Labuan,12677,,,,,,,,,,,,,,,
Pulau Pinang,W.P. Putrajaya,22683,,,,,,,,,,,,,,,
Perak,Johor,146966000,,,,,,,,,,,,,,,
Perak,Kedah,507941,,,,,,,,,,,,,,,
Perak,Kelantan,264537,,,,,,,,,,,,,,,
Perak,Melaka,77961,,,,,,,,,,,,,,,
Perak,Negeri Sembilan,45192,,,,,,,,,,,,,,,
Perak,Pahang,182931,,,,,,,,,,,,,,,
Perak,Pulau Pinang,259366,,,,,,,,,,,,,,,
Perak,Perak,2254162,,,,,,,,,,,,,,,
Perak,Perlis,61594,,,,,,,,,,,,,,,
Perak,Selangor,619880,,,,,,,,,,,,,,,
Perak,Terengganu,148993,,,,,,,,,,,,,,,
Perak,Sabah,33382,,,,,,,,,,,,,,,
Perak,Sarawak,17811,,,,,,,,,,,,,,,
Perak,W.P. Kuala Lumpur,327411,,,,,,,,,,,,,,,
Perak,W.P. Labuan,8532,,,,,,,,,,,,,,,
Perak,W.P. Putrajaya,15503,,,,,,,,,,,,,,,
Perlis,Johor,16746,,,,,,,,,,,,,,,
Perlis,Kedah,168635,,,,,,,,,,,,,,,
Perlis,Kelantan,48715,,,,,,,,,,,,,,,
Perlis,Melaka,12124,,,,,,,,,,,,,,,
Perlis,Negeri Sembilan,5275,,,,,,,,,,,,,,,
Perlis,Pahang,16929,,,,,,,,,,,,,,,
Perlis,Pulau Pinang,85136,,,,,,,,,,,,,,,
Perlis,Perak,62548,,,,,,,,,,,,,,,
Perlis,Perlis,70615,,,,,,,,,,,,,,,
Perlis,Selangor,37648,,,,,,,,,,,,,,,
Perlis,Terengganu,2348,,,,,,,,,,,,,,,
Perlis,Sabah,3067,,,,,,,,,,,,,,,
Perlis,Sarawak,915,,,,,,,,,,,,,,,
Perlis,W.P. Kuala Lumpur,43001,,,,,,,,,,,,,,,
Perlis,W.P. Labuan,2524,,,,,,,,,,,,,,,
Perlis,W.P. Putrajaya,5118,,,,,,,,,,,,,,,
Selangor,Johor,2048478,,,,,,,,,,,,,,,
Selangor,Kedah,1815866,,,,,,,,,,,,,,,
Selangor,Kelantan,1030759,,,,,,,,,,,,,,,
Selangor,Melaka,1693220,,,,,,,,,,,,,,,
Selangor,Negeri Sembilan,1553003,,,,,,,,,,,,,,,
Selangor,Pahang,2381577,,,,,,,,,,,,,,,
Selangor,Pulau Pinang,1491415,,,,,,,,,,,,,,,
Selangor,Perak,2119873,,,,,,,,,,,,,,,
Selangor,Perlis,156013,,,,,,,,,,,,,,,
Selangor,Selangor,3206019,,,,,,,,,,,,,,,
Selangor,Terengganu,1203233,,,,,,,,,,,,,,,
Selangor,Sabah,203344,,,,,,,,,,,,,,,
Selangor,Sarawak,169770,,,,,,,,,,,,,,,
Selangor,W.P. Kuala Lumpur,1854550,,,,,,,,,,,,,,,
Selangor,W.P. Labuan,3777,,,,,,,,,,,,,,,
Selangor,W.P. Putrajaya,153129,,,,,,,,,,,,,,,
Terengganu,Johor,42970,,,,,,,,,,,,,,,
Terengganu,Kedah,29479,,,,,,,,,,,,,,,
Terengganu,Kelantan,424009,,,,,,,,,,,,,,,
Terengganu,Melaka,38704,,,,,,,,,,,,,,,
Terengganu,Negeri Sembilan,6226,,,,,,,,,,,,,,,
Terengganu,Pahang,183597,,,,,,,,,,,,,,,
Terengganu,Pulau Pinang,29473,,,,,,,,,,,,,,,
Terengganu,Perak,22405,,,,,,,,,,,,,,,
Terengganu,Perlis,11417,,,,,,,,,,,,,,,
Terengganu,Selangor,119712,,,,,,,,,,,,,,,
Terengganu,Terengganu,1187341,,,,,,,,,,,,,,,
Terengganu,Sabah,47123,,,,,,,,,,,,,,,
Terengganu,Sarawak,24213,,,,,,,,,,,,,,,
Terengganu,W.P. Kuala Lumpur,618741,,,,,,,,,,,,,,,
Terengganu,W.P. Labuan,15049,,,,,,,,,,,,,,,
Terengganu,W.P. Putrajaya,24255,,,,,,,,,,,,,,,
Sabah,Johor,66788,,,,,,,,,,,,,,,
Sabah,Kedah,35440,,,,,,,,,,,,,,,
Sabah,Kelantan,17117,,,,,,,,,,,,,,,
Sabah,Melaka,22016,,,,,,,,,,,,,,,
Sabah,Negeri Sembilan,13608,,,,,,,,,,,,,,,
Sabah,Pahang,11684,,,,,,,,,,,,,,,
Sabah,Pulau Pinang,18701,,,,,,,,,,,,,,,
Sabah,Perak,20749,,,,,,,,,,,,,,,
Sabah,Perlis,14764,,,,,,,,,,,,,,,
Sabah,Selangor,231626,,,,,,,,,,,,,,,
Sabah,Terengganu,15234,,,,,,,,,,,,,,,
Sabah,Sabah,4852005,,,,,,,,,,,,,,,
Sabah,Sarawak,54558,,,,,,,,,,,,,,,
Sabah,W.P. Kuala Lumpur,149896,,,,,,,,,,,,,,,
Sabah,W.P. Labuan,39206,,,,,,,,,,,,,,,
Sabah,W.P. Putrajaya,9827,,,,,,,,,,,,,,,
Sarawak,Johor,99067,,,,,,,,,,,,,,,
Sarawak,Kedah,2350,,,,,,,,,,,,,,,
Sarawak,Kelantan,28652,,,,,,,,,,,,,,,
Sarawak,Melaka,6137,,,,,,,,,,,,,,,
Sarawak,Negeri Sembilan,49180,,,,,,,,,,,,,,,
Sarawak,Pahang,17117,,,,,,,,,,,,,,,
Sarawak,Pulau Pinang,64510,,,,,,,,,,,,,,,
Sarawak,Perak,3389,,,,,,,,,,,,,,,
Sarawak,Perlis,6533,,,,,,,,,,,,,,,
Sarawak,Selangor,117320,,,,,,,,,,,,,,,
Sarawak,Terengganu,21491,,,,,,,,,,,,,,,
Sarawak,Sabah,248488,,,,,,,,,,,,,,,
Sarawak,Sarawak,4938324,,,,,,,,,,,,,,,
Sarawak,W.P. Kuala Lumpur,528755,,,,,,,,,,,,,,,
Sarawak,W.P. Labuan,8212,,,,,,,,,,,,,,,
Sarawak,W.P. Putrajaya,18183,,,,,,,,,,,,,,,
W.P. Kuala Lumpur,Johor,616598,,,,,,,,,,,,,,,
W.P. Kuala Lumpur,Kedah,284807,,,,,,,,,,,,,,,
W.P. Kuala Lumpur,Kelantan,189064,,,,,,,,,,,,,,,
W.P. Kuala Lumpur,Melaka,644940,,,,,,,,,,,,,,,
W.P. Kuala Lumpur,Negeri Sembilan,443931,,,,,,,,,,,,,,,
W.P. Kuala Lumpur,Pahang,1151479,,,,,,,,,,,,,,,
W.P. Kuala Lumpur,Pulau Pinang,434699,,,,,,,,,,,,,,,
W.P. Kuala Lumpur,Perak,929067,,,,,,,,,,,,,,,
W.P. Kuala Lumpur,Perlis,33521,,,,,,,,,,,,,,,
W.P. Kuala Lumpur,Selangor,1677563,,,,,,,,,,,,,,,
W.P. Kuala Lumpur,Terengganu,126992,,,,,,,,,,,,,,,
W.P. Kuala Lumpur,Sabah,118980,,,,,,,,,,,,,,,
W.P. Kuala Lumpur,Sarawak,41918,,,,,,,,,,,,,,,
W.P. Kuala Lumpur,W.P. Kuala Lumpur,317275,,,,,,,,,,,,,,,
W.P. Kuala Lumpur,W.P. Labuan,7168,,,,,,,,,,,,,,,
W.P. Kuala Lumpur,W.P. Putrajaya,21830,,,,,,,,,,,,,,,
W.P. Labuan,Johor,201,,,,,,,,,,,,,,,
W.P. Labuan,Kedah,115,,,,,,,,,,,,,,,
W.P. Labuan,Kelantan,4048,,,,,,,,,,,,,,,
W.P. Labuan,Melaka,134,,,,,,,,,,,,,,,
W.P. Labuan,Negeri Sembilan,6333,,,,,,,,,,,,,,,
W.P. Labuan,Pahang,1118,,,,,,,,,,,,,,,
W.P. Labuan,Pulau Pinang,66,,,,,,,,,,,,,,,
W.P. Labuan,Perak,8112,,,,,,,,,,,,,,,
W.P. Labuan,Perlis,762,,,,,,,,,,,,,,,
W.P. Labuan,Selangor,3055,,,,,,,,,,,,,,,
W.P. Labuan,Terengganu,2511,,,,,,,,,,,,,,,
W.P. Labuan,Sabah,75082,,,,,,,,,,,,,,,
W.P. Labuan,Sarawak,440,,,,,,,,,,,,,,,
W.P. Labuan,W.P. Kuala Lumpur,6839,,,,,,,,,,,,,,,
W.P. Labuan,W.P. Labuan,5972,,,,,,,,,,,,,,,
W.P. Labuan,W.P. Putrajaya,7382,,,,,,,,,,,,,,,
W.P. Putrajaya,Johor,33771,,,,,,,,,,,,,,,
W.P. Putrajaya,Kedah,27378,,,,,,,,,,,,,,,
W.P. Putrajaya,Kelantan,25469,,,,,,,,,,,,,,,
W.P. Putrajaya,Melaka,34912,,,,,,,,,,,,,,,
W.P. Putrajaya,Negeri Sembilan,17002,,,,,,,,,,,,,,,
W.P. Putrajaya,Pahang,30103,,,,,,,,,,,,,,,
W.P. Putrajaya,Pulau Pinang,7828,,,,,,,,,,,,,,,
W.P. Putrajaya,Perak,48159,,,,,,,,,,,,,,,
W.P. Putrajaya,Perlis,3183,,,,,,,,,,,,,,,
W.P. Putrajaya,Selangor,24407,,,,,,,,,,,,,,,
W.P. Putrajaya,Terengganu,6810,,,,,,,,,,,,,,,
W.P. Putrajaya,Sabah,8290,,,,,,,,,,,,,,,
W.P. Putrajaya,Sarawak,7138,,,,,,,,,,,,,,,
W.P. Putrajaya,W.P. Kuala Lumpur,23024,,,,,,,,,,,,,,,
W.P. Putrajaya,W.P. Labuan,1497,,,,,,,,,,,,,,,
W.P. Putrajaya,W.P. Putrajaya,35808,,,,,,,,,,,,,,,
