State,Year,Total Receipts in Million
Johor,2017,6036
Johor,2018,6726
Johor,2019,7410
Johor,2020,2432
Johor,2021,1252
Johor,2022,4888
Johor,2023,6699
Kedah,2017,4471
Kedah,2018,4724
Kedah,2019,5208
Kedah,2020,2273
Kedah,2021,842
Kedah,2022,3470
Kedah,2023,4207
Negeri Sembilan,2017,4382
Negeri Sembilan,2018,4830
Negeri Sembilan,2019,5071
Negeri Sembilan,2020,2233
Negeri Sembilan,2021,1213
Negeri Sembilan,2022,3651
Negeri Sembilan,2023,4777
Pahang,2017,6436
Pahang,2018,7405
Pahang,2019,7601
Pahang,2020,2748
Pahang,2021,914
Pahang,2022,5317
Pahang,2023,6733
Perlis,2017,474
Perlis,2018,617
Perlis,2019,579
Perlis,2020,224
Perlis,2021,78
Perlis,2022,456
Perlis,2023,584
Sabah,2017,6852
Sabah,2018,7508
Sabah,2019,8081
Sabah,2020,2677
Sabah,2021,1052
Sabah,2022,4826
Sabah,2023,6713
Sarawak,2017,7347
Sarawak,2018,8145
Sarawak,2019,8671
Sarawak,2020,3385
Sarawak,2021,1935
Sarawak,2022,5431
Sarawak,2023,6943
Selangor,2017,11764
Selangor,2018,13189
Selangor,2019,15544
Selangor,2020,7051
Selangor,2021,3159
Selangor,2022,8735
Selangor,2023,11103
Terengganu,2017,4763
Terengganu,2018,5585
Terengganu,2019,5990
Terengganu,2020,2255
Terengganu,2021,984
Terengganu,2022,3363
Terengganu,2023,4192
W.P. Kuala Lumpur,2017,9395
W.P. Kuala Lumpur,2018,10295
W.P. Kuala Lumpur,2019,12141
W.P. Kuala Lumpur,2020,5273
W.P. Kuala Lumpur,2021,3084
W.P. Kuala Lumpur,2022,7733
W.P. Kuala Lumpur,2023,10995
W.P. Labuan,2017,272
W.P. Labuan,2018,391
W.P. Labuan,2019,392
W.P. Labuan,2020,60
W.P. Labuan,2021,29
W.P. Labuan,2022,136
W.P. Labuan,2023,194
W.P. Putrajaya,2017,701
W.P. Putrajaya,2018,1008
W.P. Putrajaya,2019,849
W.P. Putrajaya,2020,142
W.P. Putrajaya,2021,68
W.P. Putrajaya,2022,456
W.P. Putrajaya,2023,670
Pulau Pinang,2017,4864
Pulau Pinang,2018,6165
Pulau Pinang,2019,6654
Pulau Pinang,2020,2427
Pulau Pinang,2021,1159
Pulau Pinang,2022,3648
Pulau Pinang,2023,5815